Nr,Y,X,H,Kodi,Burimi,Saktesia(cm),Besueshmeria
1,7511647.208,4688775.076,622.928,2,1,1,1
2,7511719.280,4688892.030,617.744,2,1,1,1
3,7511752.233,4688951.629,616.239,2,1,1,1
4,7511772.392,4688991.693,614.570,2,1,1,1
5,7511786.017,4689022.794,613.172,2,1,1,1
6,7511795.553,4689043.166,612.479,2,1,1,1
36128,7511706.055,4688900.995,617.862,2,1,1,1
36142,7511697.725,4688904.345,617.452,2,1,1,1
36122,7511790.210,4689045.635,612.607,2,1,1,1
36123,7511780.579,4689025.356,613.221,2,1,1,1
36124,7511767.008,4688994.228,614.717,2,1,1,1
36125,7511746.857,4688954.391,616.075,2,1,1,1
36126,7511729.396,4688922.613,616.738,2,1,1,1
36127,7511714.405,4688894.815,617.873,2,1,1,1
36132,7511807.240,4689037.764,612.366,2,1,1,1
36133,7511798.059,4689015.256,613.051,2,1,1,1
36134,7511775.277,4688964.389,615.827,2,1,1,1
36135,7511747.345,4688916.382,616.527,2,1,1,1
36136,7511732.374,4688890.634,617.305,2,1,1,1
36137,7511706.953,4688848.527,618.666,2,1,1,1
36138,7511662.310,4688774.872,621.933,2,1,1,1
36139,7511652.990,4688762.113,622.886,2,1,1,1
36140,7511635.841,4688800.562,622.791,2,1,1,1
36141,7511664.283,4688845.209,619.538,2,1,1,1
